TDS,Ec,PH,Co3,Hco3,Cl,So4,Ca,mg,na,K,TH,WQI
378,600,7.49,0,3.42,1.05,1.44.5.6,1.27,0.02,217.5,61.05279279
454,720,7.52,0,3.37.5.16.5.3,2.35.0387.5,63.51306306
1065,1690,7.38,0,3.62,7.9,4.9,3.9,3.05,8.87,0.01,347.5,126.6884234
907,1440,7.52,0,3.57,5.6,4.47,2.55,4.3,6.38,0.01,342.5,112.0820721
1871,2970,7.54,0,3.49,18.4,4.75,6.25,3.4,18.7,0.1,482.5,197.717027
1405,2230,7.7,0,3.26,11.15,6.4,5.2,3.75,11.47,0.1,447.5,161.5912613
1052,1670,7.54,0,4.66,6.7,5.08,4.5,4.05,6.88,0.14,427.5,136.1831532
800,1270,7.9,0,4.78,4.8,2.86,4.2,2.9,5.2,0.09,355,109.5131532
636,1010,7.82,0,4.45,3,2.27,2.65,3.15,3.7,0.07,290,89.38837838
466,740,7.94,0,4.82,1.9,1.22,2.35,2.55,2.28,0.07,245,74.31810811
277,440,7.41,0,2.59,0.75,0.34.5.2,0.85.0467.5,46.41225225
391,620,7.81,0,3.38,1.45,0.72,2.6,1.75,2.04,0.03,217.5,61.31851351
1052,1670,7.61,0,3.48,7.9,4.23,3,4.15,7.09,0.02,357.5,122.9007658
2016,3200,7.61,0,3.77,19.75,6.8,6.9,4.65,21.6,0.1,577.5,222.6454505
939,1490,7.56,0,4.57,5.55,4.3,4.95,2.9,5.34,0.07,392.5,122.2147297
750,1190,7.71,0,3.76,4.45,3.29,2.85,3.15,4.93,0.13,300,99.74963964
403,640,7.38,0,3.53,1.5,0.9,2.4,1.9,2.13,0.03,215,62.1322973
825,1310,7.61,0,3.59,5.85,2.82,3.1,2.55,6.7,0.1,282.5,102.7668919
1518,2410,7.53,0,3.71,9.75,7,4.1,3.2,10.83,0.12,365,159.6287387
2058,3310,7.72,0,3.38,21.15,9.7,7,4.8,21.42,0.2,590,236.1186937
976,1550,7.87,0,3.52,6.55,4.23,4.7,3,7.9,0.14,385,124.9534685
636,1010,7.74,0,4.35,3.05,2.4,3.15,3.15,3.91,0.1,315,92.55099099
523,830,7.9,0,4.5.49,3.5,2.15,3.94,0.07,282.5,80.89490991
340,540,7.84,0,3.33,1.15,0.64,2.85.8.3.0282.5,54.95833333
258,410,7.86,0,3.14,0.6.27.65,2.3,0.76.0297.5,49.04648649
334,530,7.9,0,3.37,1.3,0.53.5.25,1.5.0395,56.07441441
926,1470,7.9,0,3.21,7.45,3.7,2.9,1.95,8.52,0.07,242.5,108.3013964
1657,2630,8.03,0,4.17,13.5,5.81,6.8,4.5,14.78,0.1,565,190.7214414
359,570,7.54,0,3.27,1.15,0.51,2.3,2.1,1.17,0.04,220,57.75963964
447,710,7.99,0,3.77,1.85,1.13,2.8,1.9,2.37,0.04,235,68.80477477
384,610,7.79,0,3.73,1.4,0.9,2.7,1.75,1.67,0.03,222.5,62.69121622
258,410,7.4,0,3.08,0.6,0.7,2.4,1.2,0.65.0280,48.51761261
208,330,7.79,0,2.74,0.4,0.15,2.55,0.7,0.5.0362.5,42.82693694
1273,2020,8.03,0,5.63,10.35,2.2,3.7,4.45,17,0.1,407.5,153.1748198
702,1115,7.97,0,3.5,5.2,3.1,3.7,2.1,6.1,0.1,290,98.05
1525,2420,7.85,0,3.9,14.9,3.7,4.1.54.77,0.14,352.5,162.7301351
1821,2890,7.91,0,3.17,18.45,3.9,5.7,3.4,18.05,0.2,455,191.7808108
717,1138,7.39,0,4.92,4.45,3,3.7,2.75,5.13,0.14,322.5,103.9094595
279,443,7.71,0,3.21,0.9,0.3.5.35,1.09.0490,51.19481982
265,420,7.73,0.7,0.3,2.4,1.2,1.23.0480,49.28310811
351,558,7.57,0,3.51,0.75,0.73,3.1,1.6,0.83,0.03,235,59.50027027
270,428,7.7,0,3.31,0.9,0.2,2.4.9.09.0365,48.64707207
1285,2040,7.81,0,3.61,12.25,3.25,4.2,3,12.1,0.1,360,144.2268919
1411,2240,7.97,0.23.2,3.7,4.4,3.55,13.7,0.12,397.5,153.2294595
747,1187,7.91,0,4.83,4.1,3.57,4.1,3.4,4.97,0.07,375,109.235
475,754,7.73,0,4.4.5.9,3.25,2,2.77,0.07,262.5,77.97135135
993,1577,7.57,0,5.71,5.95,4,2.95,4.05,8.48,0.07,350,126.1339189
485,770,7.81,0,4.3.5.62,3.1,2.25,2.7,0.07,267.5,77.63905405
1084,1720,7.83,0,4.83,9.25,3.4,3.45,4.35,10.22,0.1,390,136.1731982
247,392,7.77,0,3.04,0.55,0.4,2.5,1,0.67.0475,47.59288288
271,430,7.79,0,3.25,0.9,0.2,2.2,1.3,0.97.0775,49.97157658
330,551,7.98,0,3,1.27,0.91.9.19,1.54.0589,55.90536036
640,1115,8.42,0.32,3.04,4.38,1.83,2.95,2.37,4.43,0.1,266,87.40391892
1180,1965,7.14,0,4.08,12.18,2.54,4.19,3.09,11.82,0.11,364,139.8569369
1690,2850,7.84,0,1.88,24.21,1.54,3.43,3.07,21.52,0.11,325,174.9963514
680,1129,7.92,0,5,4.3,1.4,4.15,2.73,4.06,0.12,344,99.91045045
756,1200,7.57,0,4.51,4.45,2.44,4.7,2.25,5.4,0.2,347.5,107.1311261
705,1120,7.53,0,5.04,3.8,2.7,5,1.56,4.65,0.14,328,103.1947297
447,710,7.81,0,4.34,1.7,1.34,2.1,2.9,2.9,0.02,250,71.57891892
258,410,7.71,0,3.17,0.7,0.2,2.3,0.7,0.77.1150,47.55283784
309,490,7.74,0,3.4,1,0.3,2.4,1.15,1.13.0777.5,52.87256757
296,470,7.71,0.3.2,0.44,2.4,1.8,1.09,0.07,210,53.94518018
397,630,7.83,0,3.97,1.65,0.7,2.7,1.75,2.07,0.12,222.5,66.16342342
1663,2640,7.87,0,3.03,17.35,3.2,3.95,3.2,16.4,0.25,357.5,171.9009459
1404,2230,7.38,0,3.4,14.07,3.02,4.19,4.42,12.15,0.09,430.5,155.400991
592,940,7.79,0,4.4,2.95,2.91,3.4,1.8,3.77,0.2,260,89.92882883
