TDS,Ec,PH,Co3,Hco3,Cl,So4,Ca,mg,na,K,TH,WQI
1392,2210,7.8,0,3.91,12.65,3.56,3.15,3.3,13.07,0.11,322.5,148.3861261
3383,5370,7.99,0,4,38.3,6.28,3.65,6.75,42.5,0.1,520,317.8688288
12852,20400,7.67,0,3.57,104.5,7,16.1,14.15,156.75,0.5,1512.5,1005.850405
16632,26400,7.7,0,3.23,170,7.51,16.6,15.65,210.4,0.1,1612.5,1305.121261
9595,15230,7.56,0,4.77,138.8,10.49,12,10.3,104,1,1115,859.694955
8612,13670,7.97,0,2.95,107.2,11.14,9.05,9.4,118,0.75,922.5,760.7605405
4051,6430,7.74,0,4.78,48.4,8.94,7.2,6.1,50.48,0.24,665,393.452973
2066,3280,8.07,0,4.9,18.85,5.04,3.4,5.4,20.85,0.2,440,211.0826126
1865,2960,7.58,0,5.11,17.55,5.07,3.6,5.05,18.05,0.15,432.5,197.0479279
1071,1700,7.73,0,2.54,7.35,5.6,4.6,2.95,9.07,0.1,377.5,129.7604505
817,12970,8.02,0,2.79,112.3,10.57,10.15,8.25,86.4,0.2,920,508.5977477
13192,20940,7.81,0,3.25,194.35,9.93,22.95,15.45,126.2,0.5,1920,1162.850135
3181,5050,7.81,0,4.68,35.7,7.1,3.6,7.95,28.05,0.15,577.5,302.1153604
2388,3790,7.81,0,4.41,25.4,4.88,4.5,4.9,21.8,0.15,470,234.3648649
2211,3510,7.88,0,4.74,22.5,5.55,4.5,4.4,23.05,0.15,445,225.0294144
2140,3400,7.85,0,4.24,21.65,5.44,4.55,3.15,22.7,0.2,385,214.9539189
832,1320,7.68,0,3.64,6.3,3.47,3.2,2.9,6.8,0.1,305,107.5608108
2312,3670,7.87,0,2.9,25.35,4.75,4.7,3.3,23.35,0.1,400,220.8932432
2986,4740,7.56,0,2.31,31.3,7.65,8.2,6.25,30,0.1,722.5,296.7262162
6016,9550,7.79,0,4.12,79,7.7,10.1,6.25,55.47312102,0.2,817.5,530.7413336
4208,6680,7.9,0,4.3,50.6,7.1,5.8,7.9,55.47312102,0.25,685,402.3294417
2161,3430,7.93,0,4.63,22.75,5.44,4.9,4.3,22.2,0.14,460,223.1921171
1903,3020,8.12,0,5.07,19.05,3.73,4.65,3.9,17.72,0.2,427.5,198.8257207
1071,1700,8.02,0,3.8,10,2.18,2.75,2.55,10.9,0.1,265,120.5692793
838,1330,7.97,0,3.47,6.9,2.06,3.3,2.04,6.44,0.07,267,100.8503604
951,1510,8.15,0,3.71,7.9,1.77,2.35,3.1,8.8,0.07,272.5,109.1303604
1682,2670,7.9,0,3.3,18,2.7,2.15,4.05,17.77,0.12,310,166.7062613
8442,13400,7.55,0,4,117.7,9.7,9.1,10.3,91,0.3,970,737.0436937
18459,29300,7.51,0,2.37,303.8,7.55,17,23.95,55.47312102,0.3,2047.5,1462.071964
7415,11770,7.51,0,4.74,93,5.9,9.3,11.85,87,0.25,1057.5,654.3895495
8744,13880,7.79,0,4,107,6.3,10.1,12.5,96.8,0.25,1130,743.545045
2684,4260,7.91,0,4.07,28,3.7,4.85,6.55,25.53,0.14,570,257.661036
1858,2950,7.93,0,4.62,18.65,4.49,3.9,4.2,19,0.11,405,193.6659009
1386,2200,8.14,0,4.47,12.7,3.4,2.9,4.05,12.83,0.07,347.5,150.7385135
762,1210,7.42,0,3.93,4.75,3.11,2.7,3.65,5.11,0.04,317.5,100.0096396
346,550,7.84,0,2.83,1.85,0.67,2.3,1.45,2.04,0.04,187.5,55.74463964
1021,1620,8.04,0,3.54,9.7,1.3,2.4,3.1,8.73,0.1,275,113.4697748
5614,8910,7.79,0,3.74,74.95,7.1,6.8,7.9,70,0.3,735,512.2888739
5884,9340,7.63,0,4.67,82,6.91,14.2,6.7,63.61,0.25,1045,558.7615766
675,1073,7.91,0,3.31,5.9,1,1.9,3,5.83,0.07,245,86.04608108
1179,1871,7.77,0,3.77,12.4,2.2,3.7,2.3,13.27,0.14,300,134.6294144
1632,2590,7.87,0,3.91,18.1,2.9,2.9,3.8,16.74,0.2,335,170.5225225
9557,15170,7.9,0,3.5,132.5,7.75,9.7,12.4,120.4,0.3,1105,836.3436937
25452,40400,7.84,0,3.61,383.7,7.9,27.5,20.7,334.9,0.4,2410,2168.758198
5550,8810,7.9,0,4.81,69,7.57,10.9,8.1,67.42,0.3,950,523.6764865
8215,13040,7.93,0,3.27,127.5,7.4,14.2,17.15,102.2,0.4,1567.5,797.2033333
2022,3210,7.74,0,4.78,23.5,4.72,3.7,4.95,23.27,0.14,432.5,214.8913063
728,1156,7.73,0,4.83,4.65,2.4,2.7,3.25,6.13,0.12,297.5,100.9748649
14900,25470,7.99,0,3.4,251.16,0.66,17.32,15.7,220.17,0.89,1651,1377.527703
2250,3840,7.88,0,4.08,30.9,2.71,6.02,5.07,26.82,0.24,554.5,246.6196396
2310,3910,7.53,0,4.23,29.94,4.12,5.14,5.56,27.86,0.23,535,249.8630631
2161,3430,7.73,0,5.26,22.7,5.16,6.55,3.1,22,0.12,482.5,226.6206306
1285,2040,7.7,0,4.93,10.9,3.71,5.05,2.6,11.4,0.1,382.5,149.4820721
756,1200,7.79,0,3.75,5.95,1.9,2.9,2,6.43,0.07,245,94.38675676
970,1540,7.73,0,3.5,8.7,1.81,3,1.9,8.7,0.2,245,110.9421622
1222,1940,7.74,0,3.81,12.45,1.74,2.1,3.4,11.2,0.3,275,133.6977928
2879,4570,7.71,0,3.71,34.6,4.1,4.2,4.7,31.1,0.35,445,273.9658559
20570,32650,7.79,0,1.81,283,8.21,23.1,17.6,185.04,0.47,2035,1647.762883
7200,11820,7.24,0,4.2,89.69,10.29,12.37,13.25,79.65,0.46,1281,671.1555856
1745,2770,7.74,0,4.1,17.35,2.81,5.48,2.02,18.26,0.25,375,181.8884234
2120,3380,7.81,0,4.6,28.56,1.1,4.59,5.62,22.91,0.15,510.5,223.0413063
2016,3200,7.77,0,4.7,20.8,6.77,2.9,6.5,22.24,0.3,470,220.7045045
1524,2420,7.91,0,4.7,14.65,5.63,3.1,4,15.98,0.25,355,172.9832883
774.9,1230,7.7,0,3.6,6.05,2.62,2.99,2.07,7.22,0.17,253,100.1297748
869.4,1380,7.73,0,3.7,7.55,2.5,2.89,1.81,8.35,0.2,235,106.4013514
4687.2,7440,7.9,0,2.8,63.25,7.81,3.99,7.01,58.4,0.4,550,430.8572523
